stars,comment
3.0 out of 5 stars,"









  
  
    
  Material is good but the peacock print fades when washed

  
"
5.0 out of 5 stars,"









  
  
    
  The saree has repeatedly folded.  Though I like the product and price.

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent saree at this price. Liked the colour, the design and material very much. Saree looks premium and wife is very happy to use it.

  
"
5.0 out of 5 stars,"









  
  
    
  Very good Saree @ 449, will reorder.. Strongly recommend..

  
"
5.0 out of 5 stars,"









  
  
    
  I like this very much really its amazing good value for money

  
"
1.0 out of 5 stars,"









  
  
    
  Fake value shown.Product cost was 459 but when he try to book the additional 100rs charged on the name of packing and tax. And product received in normal plastic.

  
"
5.0 out of 5 stars,"









  
  
    
  U know why I have started shopping here because whatever in the pic it was shown same to same product I have received. Really it is a very nice sari with nice texture. I really appreciate your genuineness. Thanks.

  
"
5.0 out of 5 stars,"









  
  
    
  I love this sari very much.. Colour combination is awesome.. Super soft fabric ND lightweight .. 😍😍😍😍..go for this

  
"
2.0 out of 5 stars,"









  
  
    
  The saree quality and print are same as shown in the picture but i received a wrong color. So I gonna change my saree 😡😡Its makes me feel disappointed when I uncovered the package😤😤

  
"
4.0 out of 5 stars,"









  
  
    
  Nice design. Color slightly dark than the picture that is displayed but superb saree .......!

  
"
5.0 out of 5 stars,"









  
  
    
  Saree looks exactly shown in the pictures. It is not Silk cotton material, but a kind of synthetic material. Only the dark blue border is satin kind of soft material. Bought it to gift to someone. Golden printed peacock might not last after wash. But for this price, it is ok to buy.

  
"
4.0 out of 5 stars,"









  
  
    
  Good one value only for money no long Lasting use cloth is very ok ... But it's ok for the mentioned price

  
"
1.0 out of 5 stars,"









  
  
    
  Not worth, While opened packet printed designs are in fallen in packets. With Sure that after one wash printed saree will be plain saaree ;)

  
"
5.0 out of 5 stars,"









  
  
    
  I like this product color and i liked very much about this product packing. and more over this saree is good liked by every person and come to the main point is price of this Silk Saree. This Saree is not much expensive. but compare to whole product I am impressed so much by this product price.Thank You Amazon for giving this product in less price.

  
"
3.0 out of 5 stars,"









  
  
    
  The golden design is printed on the cloth, definitely will not last long. Pl don't call it banarsi.  Pictures tell a different story n product is very different.

  
"
3.0 out of 5 stars,"









  
  
    
  Product not as expected it has silk material not Mix coton.I am Not Satisfied tWith the product

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice one ordered for my mother she is very happy with it. You can use any blouse color as they have 4 colors in saree

  
"
3.0 out of 5 stars,"









  
  
    
  Received as shown in the picture...But the print will fade off after 1 or 2 washes...it's better not to wash...no blouse piece

  
"
5.0 out of 5 stars,"









  
  
    
  If there was a rating for blouse piece i would give 3 only ...either the cloth is good .....with good design ..... the peacock on border is bigger making it look wide border and on the other part its small making it a good combination

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent productJust the way it looks in the picNot sure about how it looks after a washBut really a good product and worth the price

  
"
4.0 out of 5 stars,"









  
  
    
  The product colour and design is the same.  But it's not cotton, not silk, not cotton silk.

  
"
